iid	cortex	cerebellum	brain	heart	liver	kidneys	left_body	right_body	left_brain	right_brain	large	small	neun	olig2	pu1	tbr1	lhx2	dapi	cell	control	prefrontal	frontal	parietal	temporal	occipital
7614_Cbl	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7614_Ctx_F_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
7614_Ctx_F_L_Lrg	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_F_L_NeuN	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_L_Olig2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_L_PU1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_L_Sml	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_F_R_Lhx2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
7614_Ctx_F_R_Lrg	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_F_R_NeuN	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_R_Olig2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_R_PU1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
7614_Ctx_F_R_Sml	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7614_Ctx_O_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
7614_Ctx_O_L_Lrg	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
7614_Ctx_O_L_NeuN	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
7614_Ctx_O_L_Olig2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
7614_Ctx_O_L_PU1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
7614_Ctx_O_L_Sml	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7614_Ctx_O_R_Lhx2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
7614_Ctx_O_R_Lrg	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
7614_Ctx_O_R_NeuN	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
7614_Ctx_O_R_Olig2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
7614_Ctx_O_R_PU1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
7614_Ctx_O_R_Sml	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7614_Ctx_PF_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
7614_Ctx_PF_L_Lrg	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_NeuN	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_L_Olig2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_L_PU1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_L_Sml	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_Sml2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_Sml3	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_Sml4	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_Sml5	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_Sml6	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_L_TBR1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_R_Lhx2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
7614_Ctx_PF_R_Lrg	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_NeuN	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_R_Olig2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_R_PU1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
7614_Ctx_PF_R_Sml	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml10	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml11	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml13	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml2	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml3	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml4	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml5	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml6	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml7	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml8	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_Sml9	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7614_Ctx_PF_R_TBR1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
7614_Ctx_P_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
7614_Ctx_P_L_Lrg	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
7614_Ctx_P_L_NeuN	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
7614_Ctx_P_L_Olig2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
7614_Ctx_P_L_PU1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
7614_Ctx_P_L_Sml	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
7614_Ctx_P_R_Lhx2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
7614_Ctx_P_R_Lrg	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
7614_Ctx_P_R_NeuN	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
7614_Ctx_P_R_Olig2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
7614_Ctx_P_R_PU1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
7614_Ctx_P_R_Sml	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
7614_Ctx_T_L_Lhx2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
7614_Ctx_T_L_Lrg	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_NeuN	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_L_Olig2	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_L_PU1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_L_Sml	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml2	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml3	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml4	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml5	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml6	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_L_Sml9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-A10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-A11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-A12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-A7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-A8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-A9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-B10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-B11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-B12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-B7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-B8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-B9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-C10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-C11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-C12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-C7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-C8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-C9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-D10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-D11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-D12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-D7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-D8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-D9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-E10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-E11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-E12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-E7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-E8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-E9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-F10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-F11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-F12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-F7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-F8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-F9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-G10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-G11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-G12	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-G7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-G8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-G9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-H10	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-H11	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-H7	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-H8	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-DAPI-H9	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-A1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-A2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-A3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-A4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-A5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-A6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-B1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-B2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-B3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-B4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-B5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-B6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-C1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-C2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-C3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-C4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-C5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-C6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-D1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-D2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-D3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-D4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-D5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-D6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-E1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-E2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-E3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-E4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-E5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-E6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-F1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-F2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-F3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-F4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-F5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-F6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-G1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-G2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-G3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-G4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-G5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-G6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-H1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-H2	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-H3	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-H4	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-H5	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614-Ctx-T-L-Sml-NeuN-H6	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_L_TBR1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
7614_Ctx_T_R_Lhx2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
7614_Ctx_T_R_Lrg	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Ctx_T_R_NeuN	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_R_Olig2	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_R_PU1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
7614_Ctx_T_R_Sml	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7614_Heart	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7614_Kidney_L	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7614_Kidney_R	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7614_Liver	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JGG-Cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
JGG_Tissue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
